"day","year","lake","taxon","density","density_adj","min_density","density_scaled"
29,1991,"Menona","M. edax",0,0.1,2000,-1.88419353827751
30,1980,"Menona","C. sphaericus",51000,5.2,1000,-0.0917443947627308
30,1980,"Menona","Calanoid copepods",0,0.1,2000,-2.12475480968477
30,1980,"Menona","Cyclopoid copepods",824000,82.5,3000,1.42447804565281
30,1980,"Menona","D. mendotae",8000,0.9,1000,-0.633187820607783
30,1980,"Menona","D. thomasi",264000,26.5,2000,0.553585572208394
30,1980,"Menona","K. cochlearis",44000,4.5,2000,-1.0891744813528
30,1980,"Menona","L. siciloides",20000,2.1,2000,-0.398928499554722
30,1980,"Menona","M. edax",0,0.1,2000,-1.35153422804855
31,1980,"Kegonsa","C. sphaericus",18000,1.9,1000,-1.84066838860651
31,1980,"Kegonsa","Calanoid copepods",16000,1.7,2000,-0.049161848933578
31,1980,"Kegonsa","Cyclopoid copepods",62000,6.3,3000,0.420399768430823
31,1980,"Kegonsa","D. mendotae",43000,4.4,1000,1.64254285333423
31,1980,"Kegonsa","D. thomasi",142000,14.3,2000,0.882990413921359
31,1980,"Kegonsa","K. cochlearis",295000,29.6,2000,2.03780335039608
31,1980,"Kegonsa","L. siciloides",2000,0.3,2000,-1.95574088819927
31,1980,"Kegonsa","M. edax",0,0.1,2000,-0.986201155347543
31,1980,"Waubesa","C. sphaericus",5000,0.6,1000,-1.65279789658538
31,1980,"Waubesa","Calanoid copepods",0,0.1,2000,-1.56080096869641
31,1980,"Waubesa","Cyclopoid copepods",74000,7.5,3000,0.400925830669498
31,1980,"Waubesa","D. mendotae",0,0.1,1000,-1.61389681479927
31,1980,"Waubesa","D. thomasi",227000,22.8,2000,1.13938207506402
31,1980,"Waubesa","K. cochlearis",174000,17.5,2000,0.416034224001933
31,1980,"Waubesa","L. siciloides",14000,1.5,2000,-1.75536336315795
31,1980,"Waubesa","M. edax",0,0.1,2000,-1.08127506125912
32,1979,"Mendota","C. sphaericus",0,0.1,1000,-1.15339771690184
32,1979,"Mendota","Calanoid copepods",0,0.1,2000,-1.20310075205135
32,1979,"Mendota","Cyclopoid copepods",4000,0.5,3000,-1.13350361632976
32,1979,"Mendota","D. mendotae",3000,0.4,1000,-0.301358128466211
32,1979,"Mendota","D. thomasi",233000,23.4,2000,0.573387711078452
32,1979,"Mendota","K. cochlearis",62000,6.3,2000,-0.0859626788529157
32,1979,"Mendota","L. siciloides",22000,2.3,2000,-0.295459378134466
32,1979,"Mendota","M. edax",0,0.1,2000,-1.14922848541634
32,1983,"Kegonsa","C. sphaericus",0,0.1,1000,-0.698199480938968
32,1983,"Kegonsa","Calanoid copepods",0,0.1,2000,-1.35495821582961
32,1983,"Kegonsa","Cyclopoid copepods",23000,2.4,3000,-0.71983845975561
32,1983,"Kegonsa","D. mendotae",0,0.1,1000,-0.554909064820018
32,1983,"Kegonsa","D. thomasi",31000,3.2,2000,1.77113932571604
32,1983,"Kegonsa","K. cochlearis",191000,19.2,2000,0.954868819192065
32,1983,"Kegonsa","L. siciloides",19000,2,2000,-0.20784510992112
32,1983,"Kegonsa","M. edax",0,0.1,2000,-1.29075982736352
32,1983,"Waubesa","C. sphaericus",0,0.1,1000,-0.88161900882663
32,1983,"Waubesa","Calanoid copepods",0,0.1,2000,-1.42379860513131
32,1983,"Waubesa","Cyclopoid copepods",38000,3.9,3000,-0.305723957286022
32,1983,"Waubesa","D. mendotae",14000,1.5,1000,1.21219661196226
